(0.7212024720468246,0.0484716924399355)
(0.1718605878751244,0.6505265891918608)
(-0.5970937505193865,1.0713978920149145)
(-0.8959404097107040,0.9083143907836500)
(-0.7879171187057787,0.2210432035926179)
(-0.6118968287876887,-0.4902246027070583)
(-0.6159419536875352,-0.7983742238897986)
(-0.7967277571079605,-0.7257023436431065)
(-0.9743396029515630,-0.6679724460684690)
(-0.5175564837920668,-0.6552540260038817)
(0.2856368409109054,-0.7175324017559082)
(0.7012846276310834,-0.7445138098270214)
(0.2492674796017418,-0.7071067811865474)
(-0.6344051610387084,-0.6484800094716527)
(-1.1458697458220919,-0.6859258578490665)
(-0.8907662988545622,-0.6410206787257534)
(-0.0541166078233273,-0.6519738430750260)
(0.6358393230038577,-0.7061768921494146)
(0.5227350275881194,-0.7061963259952673)
(-0.2606894019406684,-0.8161901162375950)
(-0.8787669671634339,-0.9349366761421565)
(-0.8236084567798091,-0.5001140980502606)
(-0.7017142130771858,0.3418139768271766)
(-0.8688735172974313,0.6889459244477419)
(-0.6803991991782986,0.1304270820084517)
(0.1103802191434751,-0.6781693484270228)
(0.6874811484607922,-0.9417803068473978)
(0.3266944552103984,-0.7544938103251696)
(-0.5149343948734542,-0.6218009949963204)
(-0.8801180529426794,-0.6766150798504180)
(-0.7480429769110182,-0.8681649125411274)
(-0.7539452963881036,-0.9290282875885221)
(-0.7995632822480373,-0.5010285232517052)
(-0.5596299052627878,0.1776818209532523)
(0.2062034600120853,0.8625946914497805)
(0.7578857444427001,1.1130886021429089)
(0.7821513817222062,0.6527345157934531)
(0.7071067811865481,-0.0611074313962833)
(0.8781851820775753,-0.6535833812366708)
(0.7894922883495391,-1.0620180524143188)
(0.0320925859509559,-0.8719110460433417)
(-0.6176706378633986,-0.2459691119916412)
(-0.5297161494682376,0.4498048865716816)
(0.2738616081305865,0.9310346280191557)
(0.9719805128835845,0.9403492897689748)
(1.0947759274650406,0.3886385701946448)
(0.4503362480808324,-0.4544337006247944)
(-0.4942035701894165,-0.6632481395538891)
(-0.6534890418969591,-0.0161302639654212)
(0.1199124858196619,0.7350624173250000)
(0.6997901208729498,1.1012834629950159)
(0.1984218080464089,0.7833859603312107)
(-0.6177438823705719,-0.1300863838226589)
(-0.5520994954955608,-0.7280757556307772)
(0.3417696478447510,-0.2792749249748019)
(1.0873279552308484,0.5603432120451892)
(0.9837671601821718,0.6595612352235960)
(0.4374737062644136,-0.0929255162480577)
(-0.2360245210973930,-0.9595901056033683)
(-0.8492155869421050,-1.1727498740585034)
(-1.0132312127797172,-0.5894428473952389)
(-0.6517579984688174,0.1414596668188483)
(0.0000000000000039,0.7071067811865507)
(0.6580430827392305,1.0912754610793827)
(0.9916949412497894,0.8258956940961932)
(0.8719110460433408,-0.0675893890856935)
(0.0763912786166280,-0.7140764718640555)
(-0.6298152879771676,-0.3064790142754501)
(-0.5142488877905935,0.5597846308393623)
(0.2823149460448327,0.6332981577787834)
(0.8490749539772302,-0.1314934429100979)
(0.9079831867261492,-0.9343425953113734)
(0.6537686625822802,-1.1780807936829707)
